"Kernel Name"	"gpu_tot_sim_insn\s*=\s*(.*)"	"gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*"	"gpu_tot_sim_cycle\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[MSHR_HIT\]\s*=\s*(.*)"	"gpgpu_n_tot_w_icount\s*=\s*(.*)"	"total dram reads\s*=\s*(.*)"	"total dram writes\s*=\s*(.*)"	"kernel_launch_uid\s*=\s*(.*)"	"gpu_stall_dramfull\s*=\s*(.*)"	"gpu_stall_icnt2sh\s*=\s*(.*)"	"Stall:([0-9]+)\s*W0_Idle:[0-9]+\s*W0_Scoreboard:[0-9]+.*"	"Stall:[0-9]+\s*W0_Idle:([0-9]+)\s*W0_Scoreboard:[0-9]+.*"	"Stall:[0-9]+\s*W0_Idle:[0-9]+\s*W0_Scoreboard:([0-9]+).*"	"gpu_ipc\s*=\s*(.*)"	"gpu_occupancy\s*=\s*(.*)%"	"L2_BW\s*=\s*(.*)+GB\/Sec"	"max_icnt2mem_latency\s*=\s*(.*)"	"gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\)"	"gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\)"	"gpgpu_silicon_slowdown\s*=\s*(.*)x"	"gpu_tot_ipc\s*=\s*(.*)"	"averagemflatency\s*=\s*(.*)"	"Kernel Name (Demangled)"
"_ZN73_GLOBAL__N__49_tmpxft_00012490_00000000_7_RangeFactories_cpp1_ii_ce7ed09929elementwise_kernel_with_indexIiZZZZN2at6native15arange_cuda_outERNS1_6TensorEN3c106ScalarES6_S6_ENKUlvE_clEvENKUlvE4_clEvENKUlvE_clEvEUllE_EEvT_T0_PN15function_traitsISC_E11result_typeE--0"	1868.0	3.0	5255.0	0.0	""	0.0	28.0	""	0.0	0.0	28.0	0.0	72.0	0.0	0.0	1.0	0.0	0.0	7.0	1824.0	120.0	0.3555	3.0876	""	35.0	622.0	1751.0	826384.0	0.3555	""	"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(at::Tensor&, c10::Scalar, c10::Scalar, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda()#1}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(at::Tensor&, c10::Scalar, c10::Scalar, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda()#1}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(at::Tensor&, c10::Scalar, c10::Scalar, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda()#1}::operator()() const::{lambda(long)#1}>::result_type*)"
"_ZN2at6native67_GLOBAL__N__43_tmpxft_000126db_00000000_7_Indexing_cpp1_ii_0918133421indexSelectLargeIndexIfjLi2ELi2ELin2ELb1EEEvNS_4cuda6detail10TensorInfoIT_T0_EES8_NS5_IlS7_EEiiS7_S7_l--0"	7408858.0	10.0	8002.0	587.0	11220.0	0.0	10560.0	13200.0	2.0	0.0	10560.0	1978.0	273520.0	10492.0	0.0	1.0	1962.0	0.0	180494.0	67638.0	347186.0	925.8758	41.9392	""	537.0	570055.0	1019.0	1420019.0	559.0048	308.0	"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)"
"_ZN2at6native67_GLOBAL__N__43_tmpxft_000126db_00000000_7_Indexing_cpp1_ii_0918133421indexSelectLargeIndexIfjLi2ELi2ELin2ELb1EEEvNS_4cuda6detail10TensorInfoIT_T0_EES8_NS5_IlS7_EEiiS7_S7_l--1"	7408858.0	10.0	7807.0	656.0	11220.0	0.0	10560.0	13200.0	2.0	0.0	10560.0	1978.0	273520.0	10561.0	0.0	1.0	44.0	0.0	242974.0	73396.0	174456.0	949.0019	42.2372	""	537.0	644329.0	915.0	1581420.0	703.5503	300.0	"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEEEEviT0_T1_--0"	443520.0	6.0	6143.0	21120.0	21120.0	0.0	10560.0	21120.0	0.0	0.0	10560.0	0.0	15180.0	0.0	0.0	1.0	0.0	0.0	34613.0	105755.0	170660.0	72.1992	11.547	""	537.0	526313.0	938.0	1542643.0	560.9991	312.0	"void at::native::vectorized_elementwise_kernel<4, at::native::AddFunctor<float>, at::detail::Array<char*, 3> >(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BUnaryFunctorINS0_10AddFunctorIfEEEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--0"	401280.0	5.0	5869.0	10560.0	10560.0	0.0	10560.0	10560.0	0.0	0.0	10560.0	0.0	13860.0	0.0	0.0	1.0	0.0	0.0	1959.0	109892.0	132521.0	68.3728	11.3261	""	537.0	460717.0	972.0	1488683.0	473.5876	306.0	"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2>)"
"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_7MeanOpsIffEEjfLi4EEEEEvT1_--0"	693900.0	5.0	8072.0	10560.0	10560.0	96.0	110.0	10560.0	0.0	96.0	110.0	0.0	24418.0	0.0	0.0	1.0	0.0	0.0	11915.0	7223.0	42690.0	85.9638	24.8253	""	537.0	419443.0	1055.0	1371563.0	397.5475	293.0	"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--0"	4583040.0	7.0	6625.0	10886.0	10890.0	10560.0	10560.0	13200.0	821.0	0.0	10560.0	1489.0	159720.0	1.0	0.0	1.0	163.0	0.0	29878.0	76982.0	200388.0	691.7796	12.4487	""	537.0	455246.0	1038.0	1394026.0	438.3506	280.0	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native29vectorized_elementwise_kernelILi4EZNS0_68_GLOBAL__N__44_tmpxft_000124ca_00000000_7_PowKernel_cpp1_ii_639c21f929pow_tensor_scalar_kernel_implIffEEvRNS_14TensorIteratorET0_EUlfE0_NS_6detail5ArrayIPcLi2EEEEEviS6_T1_--0"	380160.0	5.0	5899.0	10560.0	10560.0	0.0	10560.0	10560.0	0.0	0.0	10560.0	0.0	13200.0	0.0	0.0	1.0	0.0	0.0	2285.0	108552.0	134283.0	64.4448	11.3032	""	537.0	418068.0	1052.0	1375475.0	397.2552	280.0	"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIterator&, float)::{lambda(float)#2}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIterator&, float)::{lambda(float)#2}, at::detail::Array<char*, 2>)"
"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_7MeanOpsIffEEjfLi4EEEEEvT1_--1"	693900.0	6.0	7991.0	10560.0	10560.0	96.0	110.0	10560.0	0.0	96.0	110.0	0.0	24418.0	0.0	0.0	1.0	0.0	0.0	11789.0	6749.0	41582.0	86.8352	24.8044	""	537.0	386234.0	1081.0	1338575.0	357.0275	274.0	"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--1"	4583040.0	6.0	6613.0	10890.0	10890.0	10560.0	10560.0	13200.0	947.0	0.0	10560.0	1363.0	159720.0	0.0	0.0	1.0	0.0	0.0	29945.0	74681.0	197958.0	693.0349	12.5451	""	537.0	422197.0	1083.0	1336103.0	389.5721	267.0	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
